DATE,Airline code,Flight Designator,SOBT,Hour,Routing,Traffic Type,Public Terminal,GHA,Seats
21-06-2026,AI,AI 223,21:15,21,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150
21-06-2026,AI,AI 2386,21:40,21,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,IX,IX 173,21:20,21,DEL-DMM,INTERNATIONAL,Terminal 3,AISATS,180
21-06-2026,EY,EY 217,21:15,21,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,327
21-06-2026,GF,GF 135,21:50,21,DEL-BAH,INTERNATIONAL,Terminal 3,BFS,150
21-06-2026,6E,6E 1307,21:30,21,DEL-DOH,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,6E,6E 1405,21:00,21,DEL-AUH,INTERNATIONAL,Terminal 3,BFS,232
21-06-2026,SQ,SQ 403,21:55,21,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,471
21-06-2026,AC,AC 043,22:50,22,DEL-YYZ,INTERNATIONAL,Terminal 3,AISATS,300
21-06-2026,AI,AI 314,22:10,22,DEL-HKG,INTERNATIONAL,Terminal 3,AISATS,188
21-06-2026,CA,CA 948,22:50,22,DEL-PEK,INTERNATIONAL,Terminal 3,BFS,301
21-06-2026,CX,CX 698,22:45,22,DEL-HKG,INTERNATIONAL,Terminal 3,AISATS,368
21-06-2026,6E,6E 063,22:00,22,DEL-JED,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,6E,6E 071,22:00,22,DEL-RUH,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,OD,OD 206,22:05,22,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,189
21-06-2026,EK,EK 515,22:05,22,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,360
21-06-2026,AA,AA 293,23:30,23,DEL-JFK,INTERNATIONAL,Terminal 3,AISATS,285
21-06-2026,AI,AI 2380,23:00,23,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,188
21-06-2026,VN,VN 980,23:35,23,DEL-HAN,INTERNATIONAL,Terminal 3,AISATS,305
21-06-2026,MH,MH 191,23:00,23,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,290
21-06-2026,TG,TG 316,23:30,23,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,298
21-06-2026,UA,UA 083,23:35,23,DEL-EWR,INTERNATIONAL,Terminal 3,BFS,257
21-06-2026,D7,D7 183,23:20,23,DEL-KUL,INTERNATIONAL,Terminal 3,BFS,377
