seat,flight,N1_entry,N1_wait_r200_flight,N1_wait_r180_flight,N1_proc_r200_flight,N1_proc_r180_flight,N1_wait_r200_airline,N1_wait_r180_airline,N1_proc_r200_airline,N1_proc_r180_airline,N1_wait_r200_gha,N1_wait_r180_gha,N1_proc_r200_gha,N1_proc_r180_gha
95,AI 173,-133.0,522.333,462.0,392.667,332.0,2604.0,2335.0,2474.333,2205.0,2654.0,2380.0,2524.333,2250.0
52,AI 173,-133.0,519.0,459.0,389.333,329.0,2600.667,2332.0,2471.0,2202.0,2650.667,2377.0,2521.0,2247.0
280,AI 173,-133.0,525.667,465.0,396.0,335.0,2607.333,2338.0,2477.667,2208.0,2657.333,2383.0,2527.667,2253.0
269,AI 173,-132.0,534.667,473.0,406.0,344.0,2679.667,2403.0,2551.0,2274.0,2739.667,2457.0,2611.0,2328.0
102,AI 173,-132.0,528.0,467.0,399.333,338.0,2673.0,2397.0,2544.333,2268.0,2733.0,2451.0,2604.333,2322.0
191,AI 173,-132.0,531.333,470.0,402.667,341.0,2676.333,2400.0,2547.667,2271.0,2736.333,2454.0,2607.667,2325.0
9,AI 173,-131.0,537.0,475.0,409.333,347.0,2742.0,2459.0,2614.333,2331.0,2808.667,2519.0,2681.0,2391.0
11,AI 173,-131.0,540.333,478.0,412.667,350.0,2745.333,2462.0,2617.667,2334.0,2812.0,2522.0,2684.333,2394.0
61,AI 173,-131.0,550.333,487.0,422.667,359.0,2755.333,2471.0,2627.667,2343.0,2822.0,2531.0,2694.333,2403.0
12,AI 173,-131.0,543.667,481.0,416.0,353.0,2748.667,2465.0,2621.0,2337.0,2815.333,2525.0,2687.667,2397.0
225,AI 173,-131.0,553.667,490.0,426.0,362.0,2758.667,2474.0,2631.0,2346.0,2825.333,2534.0,2697.667,2406.0
47,AI 173,-131.0,547.0,484.0,419.333,356.0,2752.0,2468.0,2624.333,2340.0,2818.667,2528.0,2691.0,2400.0
