grouping,model,regime,target_min,n_groups,airport_peak,sum_group_peaks,max_single_group,total_counter_min
flight,SR33,r200,20,164,158,1292,16,156804
flight,SR33,r180,20,164,146,1169,14,146443
flight,SR33,r200,40,164,156,1147,14,162509
flight,SR33,r180,40,164,146,1043,12,150820
flight,SR34,r200,20,164,218,3750,45,139161
flight,SR34,r180,20,164,197,3394,41,126864
flight,SR34,r200,40,164,203,2939,38,140588
flight,SR34,r180,40,164,185,2659,34,127998
flight,SR35,r200,20,164,176,1592,20,150986
flight,SR35,r180,20,164,159,1451,18,140100
flight,SR35,r200,40,164,170,1431,18,155755
flight,SR35,r180,40,164,157,1297,16,144026
flight,SR36,r200,20,164,223,3766,47,139109
flight,SR36,r180,20,164,205,3410,42,126807
flight,SR36,r200,40,164,210,2946,37,140497
flight,SR36,r180,40,164,190,2668,33,127990
flight,SR37,r200,20,164,187,2187,28,145306
flight,SR37,r180,20,164,171,1976,25,133651
flight,SR37,r200,40,164,182,1938,26,148564
flight,SR37,r180,40,164,169,1756,23,136255
flight,SR38,r200,20,164,167,1584,18,151096
flight,SR38,r180,20,164,153,1446,16,140237
flight,SR38,r200,40,164,165,1425,17,155943
flight,SR38,r180,40,164,150,1296,15,144010
flight,SR39,r200,20,164,157,1264,15,156298
flight,SR39,r180,20,164,143,1162,14,145934
flight,SR39,r200,40,164,154,1137,13,162200
flight,SR39,r180,40,164,140,1041,12,150569
