No.,DATE,Airline code,Flight Designator,SOBT,Hour,Routing,Traffic Type,Public Terminal,GHA,Seats,Pax,D-4 Pax,D-3 Pax,D-2 Pax,D-4,D-3,D-2,Confidence
107,21-06-2026,AI,AI 219,14:25,14,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150,120,36,48,36,10:25,11:25,12:25,high
108,21-06-2026,6E,6E 1807,14:25,14,DEL-TBS,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,10:25,11:25,12:25,high
109,21-06-2026,AI,AI 2304,14:30,14,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,10:30,11:30,12:30,high
110,21-06-2026,FG,FG 312,15:00,15,DEL-KBL,INTERNATIONAL,Terminal 3,BFS,230,184,55,74,55,11:00,12:00,13:00,high
111,21-06-2026,RQ,RQ 4402,15:10,15,DEL-KBL,INTERNATIONAL,Terminal 3,AISATS,346,277,83,111,83,11:10,12:10,13:10,high
112,21-06-2026,AI,AI 4309,15:15,15,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,11:15,12:15,13:15,high
113,21-06-2026,6E,6E 1081,15:40,15,DEL-HKT,INTERNATIONAL,Terminal 3,IndiGo,259,207,62,83,62,11:40,12:40,13:40,high
114,21-06-2026,6E,6E 1053,15:45,15,DEL-BKK,INTERNATIONAL,Terminal 3,IndiGo,186,149,45,60,45,11:45,12:45,13:45,high
115,21-06-2026,EY,EY 215,15:55,15,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,220,176,53,70,53,11:55,12:55,13:55,high
116,21-06-2026,6E,6E 1345,15:55,15,DEL-DOH,INTERNATIONAL,Terminal 3,AISATS,158,126,38,50,38,11:55,12:55,13:55,high
117,21-06-2026,WY,WY 246,16:00,16,DEL-MCT,INTERNATIONAL,Terminal 3,IndiGo,236,189,57,76,57,12:00,13:00,14:00,high
118,21-06-2026,RA,RA 218,16:20,16,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,162,130,39,52,39,12:20,13:20,14:20,high
119,21-06-2026,EK,EK 517,16:25,16,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,274,219,66,88,66,12:25,13:25,14:25,high
120,21-06-2026,IA,IA 444,16:30,16,DEL-BGW,INTERNATIONAL,Terminal 3,AISATS,360,288,86,115,86,12:30,13:30,14:30,high
